,unique-id,text,aggresssion-level,preprocess,flesch_reading_ease,flesch_kincaid_grade_level,syllables,words,characters,class
0,sme_1,6-0 hahahahahaha har ek pakistani ko yeh pic dikhao :) #indvspak #जयहिन्द http://t.co/xnrxlasipi,NAG,6-0 hahahahahaha har ek pakistani ko yeh pic dikhao :) #indvspak #जयहिन्द ,25.46,12.69,24,12,96,2
1,sme_2,@sardanarohit :While entire nation is praying for our Siachin Brave heart #JNU pays tribute to a terrorist. #ShutDownJNU #JNUAfzalTribute,OAG, :while entire nation is praying for our siachin brave heart #jnu pays tribute to a terrorist. #shutdownjnu #jnuafzaltribute,45.07,11.69,32,19,137,1
2,sme_3,shoaib: wahab riaz looks like johnson. kapil dev: umesh yadav ko aap nakaar nahi sakte. #indvspak #pakvsind #wewontgiveitback,NAG,shoaib: wahab riaz looks like johnson. kapil dev: umesh yadav ko aap nakaar nahi sakte. #indvspak #pakvsind #wewontgiveitback,52.27,10.44,29,18,125,2
3,sme_4,"ramraj cottons r. ashwin southindian , chennai-ian comes for bowling. #indvspak",NAG,"ramraj cottons r. ashwin southindian , chennai-ian comes for bowling. #indvspak",10.56,14.27,22,10,79,2
4,sme_5,#indvsuae jeet gaye... :) :) cmon starsports naya ad dikhayo ab :),NAG,#indvsuae jeet gaye... :) :) cmon starsports naya ad dikhayo ab :),47.3,8.9,16,9,66,2
5,sme_6,tt india 08:24 1.#indvspak 2.#mustwatchmsg 3.#wivire 4.#जयहिन्द 5.rega jha 6.#lovedparentsworshipday 7.congrats team india 8.giroud,NAG,tt india 08:24 1.#indvspak 2.#mustwatchmsg 3.#wivire 4.#जयहिन्द 5.rega jha 6.#lovedparentsworshipday 7.congrats team india 8.giroud,41.55,10.94,25,14,131,2
6,sme_7,#shutdownjnu over democratic setup feeds these thugs,CAG,#shutdownjnu over democratic setup feeds these thugs,54.7,7.37,12,7,52,0
7,sme_8,umesh strikes double !!! uae 102/10 #bleedblue exclnt bwlng by ash jaddu mohit n yadav #indvsuae,NAG,umesh strikes double !!! uae 102/10 #bleedblue exclnt bwlng by ash jaddu mohit n yadav #indvsuae,44.97,10.71,26,15,96,2
8,sme_9,bwahahahaha my last rt!!! 😂😂😂😂😂😂😂😂😂 #indvsuae,NAG,bwahahahaha my last rt!!! 😂😂😂😂😂😂😂😂😂 #indvsuae,17.45,12.32,13,6,45,2
9,sme_10,Is JNU - Jihadi Nurturing University! #ShutDownJNU,OAG,is jnu - jihadi nurturing university! #shutdownjnu,-24.85,18.22,16,6,50,1
10,sme_11,puli ra vaaduuu..puli. 100 for kohli. king kohli. legend #indvspak #cwc15,NAG,puli ra vaaduuu..puli. 100 for kohli. king kohli. legend #indvspak #cwc15,64.92,6.94,17,11,73,2
11,sme_12,"@rahulkanwal quite natural hain jee :p...#chakdeindia #indvspak #indwins , kabhi naa tootega yeh, see u on 2019 :p, :)",NAG," quite natural hain jee :p...#chakdeindia #indvspak #indwins , kabhi naa tootega yeh, see u on 2019 :p, :)",30.33,13.25,32,17,118,2
12,sme_13,what a time to be alive ? #indvsuae is not even on top 10 trend in india.,CAG,what a time to be alive ? #indvsuae is not even on top 10 trend in india.,79.56,6.14,21,16,73,0
13,sme_14,pak india pak k pehli wicket 11 runs p ger gae youns khan c dhoni b shami 6 runs new man haris shoil #indvspak,NAG,pak india pak k pehli wicket 11 runs p ger gae youns khan c dhoni b shami 6 runs new man haris shoil #indvspak,76.73,8.52,30,24,110,2
