,unique-id,text,aggresssion-level,preprocess,flesch_reading_ease,flesch_kincaid_grade_level,syllables,words,characters,class
0,facebook_corpus_msr_396174,If government of india don't take strict action against China then soon india will be on the loosing side sure,NAG,if government of india don't take strict action against china then soon india will be on the loosing side sure,72.33,8.14,27,20,110,2
1,facebook_corpus_msr_422473,So now we know. The women should be under the veil. Because a dumb country is made to think that it's cool.,NAG,so now we know. the women should be under the veil. because a dumb country is made to think that it's cool.,84.52,6.94,26,22,107,2
2,facebook_corpus_msr_341422,गद्दारो तुमसे ही तो खतरा है अबकी बार साफ हो जाओगे,NAG,गद्दारो तुमसे ही तो खतरा है अबकी बार साफ हो जाओगे,111.07,0.5,11,11,49,2
3,facebook_corpus_msr_481654,Do you think markets are gonna be sideways till the results are out?,NAG,do you think markets are gonna be sideways till the results are out?,89.52,4.0,16,13,68,2
4,facebook_corpus_msr_427757,"Jago Urjut Jago....
Save common people from
reducing further Repo Rates .",NAG,jago urjut jago.... save common people from reducing further repo rates .,57.23,8.01,18,11,73,2
5,facebook_corpus_msr_469689,"The point of demonetization is to stop use of cash the way india doing, india have to force all the big transactions through either check or creditcard, cash should only be used for small transactions",NAG,"the point of demonetization is to stop use of cash the way india doing, india have to force all the big transactions through either check or creditcard, cash should only be used for small transactions",48.04,15.25,51,35,200,2
6,facebook_corpus_msr_470520,Hi anuj and Sonia pls share ur view on aviation sector.,NAG,hi anuj and sonia pls share ur view on aviation sector.,80.31,4.79,15,11,55,2
7,facebook_corpus_msr_477554,As the govt banned Rs500& Rs1000 notes is govt is prepared to fulfill the requirement of new Rs500 & Rs2000 notes with in 50 days...???,NAG,as the govt banned rs500& rs1000 notes is govt is prepared to fulfill the requirement of new rs500 & rs2000 notes with in 50 days...???,80.25,8.03,29,24,135,2
8,facebook_corpus_msr_440935,Excise grew by 32% in November(festive season) as against 41% in October and 36% in September. The real effect of demonetisation is still to come...,NAG,excise grew by 32% in november(festive season) as against 41% in october and 36% in september. the real effect of demonetisation is still to come...,46.1,13.04,40,25,148,2
9,facebook_corpus_msr_466432,Sab log doordarshi nhi hote ARADHANA ji...10% logo me Hi ye khoobi paayi jaati h...any ways... everybody has their own perception...it's Democratic country.... otherwise time will tell everything...,NAG,sab log doordarshi nhi hote aradhana ji...10% logo me hi ye khoobi paayi jaati h...any ways... everybody has their own perception...it's democratic country.... otherwise time will tell everything...,45.47,13.87,44,28,198,2
10,facebook_corpus_msr_408292,"India is a fake, Fragile and unatural union build by British to control the poor masses. it has become a monster for minorities and neighbors, almost 40% of Indian Land is direct under Indian Army control who commit grave human right abuses under notorious AFSPA , Kashmiris hate India for brutal illegal occupation of their land but shameless India so called upper Class Hindu elite doesnt want to Free Kashmir for their political gaines, India is the only country which is being run by Extremists apart from Israel.",NAG,"india is a fake, fragile and unatural union build by british to control the poor masses. it has become a monster for minorities and neighbors, almost 40% of indian land is direct under indian army control who commit grave human right abuses under notorious afspa , kashmiris hate india for brutal illegal occupation of their land but shameless india so called upper class hindu elite doesnt want to free kashmir for their political gaines, india is the only country which is being run by extremists apart from israel.",-16.64,37.19,139,87,517,2
11,facebook_corpus_msr_428078,This mineral rich state was completely exploited and ignored by all govts. With current dispensation hope to see this state rock with allround developments...,NAG,this mineral rich state was completely exploited and ignored by all govts. with current dispensation hope to see this state rock with allround developments...,45.0,12.95,39,24,158,2
12,facebook_corpus_msr_456793,And sir please indicate the date when v will start normal withdrawals from bank to bring back confidence in economy,NAG,and sir please indicate the date when v will start normal withdrawals from bank to bring back confidence in economy,68.1,8.73,28,20,115,2
13,facebook_corpus_msr_407396,"PK Movie Bhagawan Shiv Ko Aapman Kiya..   I Hate BollyWood Pornmovies ...
I think BollyWood +Kiss+Bedscenes + Sex ==== Born #SunnyLeone .... Dekho Aur Siko Indian Culture Movies More in South. .... Encourage This Type of Movies #Rajamouli And #Prabhas",NAG,pk movie bhagawan shiv ko aapman kiya.. i hate bollywood pornmovies ... i think bollywood +kiss+bedscenes + sex ==== born #sunnyleone .... dekho aur siko indian culture movies more in south. .... encourage this type of movies #rajamouli and #prabhas,31.12,17.61,58,35,251,2
